param_set,prey_population_size,finished,pred_steps
flock,100,True,685
flock,100,True,604
flock,100,True,780
flock,100,True,718
flock,100,True,769
flock,250,True,740
flock,250,True,683
flock,250,True,925
flock,250,True,898
flock,250,True,932
flock,500,True,745
flock,500,True,931
flock,500,True,702
flock,500,True,672
flock,500,True,731
flock,1000,True,575
flock,1000,True,635
flock,1000,True,501
flock,1000,True,765
flock,1000,True,843
no_flock,100,True,829
no_flock,100,True,603
no_flock,100,True,1006
no_flock,100,True,664
no_flock,100,True,535
no_flock,250,True,648
no_flock,250,True,790
no_flock,250,True,696
no_flock,250,True,774
no_flock,250,True,740
no_flock,500,True,663
no_flock,500,True,478
no_flock,500,True,688
no_flock,500,True,488
no_flock,500,True,509
no_flock,1000,True,401
no_flock,1000,True,506
no_flock,1000,True,480
no_flock,1000,True,393
no_flock,1000,True,428
